,Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
386,grown ups 2,2013,english,united states,comedy,80000000,133668525,0.5411159599644744,113355283,0.4588840400355256,247023808
387,grudge match,2013,english,united states,"comedy, drama, sport",40000000,29807260,0.4269936966441599,40000000,0.57300630335584,69807260
390,hacksaw ridge,2016,english,"united states,australia","biography, drama, history, war",40000000,67209615,0.3722212095906176,113354021,0.6277787904093823,180563636
391,"hail, caesar!",2016,english,"united states,united kingdom","comedy, drama, mystery",22000000,30498085,0.4722634639928372,34080455,0.5277365360071627,64578540
393,halloween kills,2021,english,united states,"action, drama, horror, thriller",20000000,92002155,0.6895474564074562,41421809,0.3104525435925438,133423964
394,halloween: resurrection,2002,english,united states,"horror, thriller",15000000,30354442,0.8039965734363125,7400000,0.1960034265636875,37754442
398,hansel & gretel get baked,2013,english,united states,"comedy, horror",4500000,298688,0.5,298688,0.5,597376
399,hansel & gretel: witch hunters,2013,english,united states,"action, fantasy, horror",50000000,55703475,0.2460947062945495,170646274,0.7539052937054505,226349749
400,happy death day,2017,english,united states,"comedy, horror, mystery, thriller",5000000,55683845,0.4437692917330262,69795421,0.5562307082669737,125479266
401,happy death day 2u,2019,english,united states,"comedy, horror, mystery, sci-fi, thriller",9000000,28148130,0.4357285413198408,36452022,0.5642714586801592,64600152
405,hearts beat loud,2018,english,united states,"comedy, drama, music",2000000,2386251,0.9872106372548004,30914,0.0127893627451994,2417165
409,hell fest,2018,english,united states,"horror, mystery, thriller",5500000,11107431,0.6116113547048526,7053499,0.3883886452951473,18160930
414,herbie fully loaded,2005,english,united states,"adventure, comedy, family, fantasy, romance, sport",50000000,66023816,0.4580317334237893,78123000,0.5419682665762108,144146816
416,hey arnold! the movie,2002,english,united states,"adventure, animation, comedy, drama, family, thriller",10000000,13728902,0.9002967216610748,1520406,0.0997032783389252,15249308
418,hidden figures,2016,english,united states,"biography, drama, history",25000000,169607287,0.7188062245164792,66349611,0.2811937754835207,235956898
420,hitman: agent 47,2015,english,"united states,germany,singapore,united kingdom","action, adventure, crime, mystery, thriller",35000000,22467450,0.2728365455842483,59880206,0.7271634544157517,82347656
421,holmes & watson,2018,english,"united states,canada","comedy, crime, mystery",42000000,30573626,0.7291328654971653,11357862,0.2708671345028347,41931488
428,hoodwinked!,2005,english,united states,"adventure, animation, comedy, crime, family, musical, mystery",30000000,51386611,0.4670950978077015,58626556,0.5329049021922985,110013167
430,horrible bosses 2,2014,english,united states,"comedy, crime",40000000,54445357,0.5057845365313806,53200000,0.4942154634686194,107645357
433,hot tub time machine 2,2015,english,united states,"comedy, mystery, sci-fi",14000000,12314651,0.94136825695778,767000,0.0586317430422199,13081651
434,hotel artemis,2018,english,"united kingdom,united states","action, crime, drama, sci-fi, thriller",15000000,6708147,0.5038574520258674,6605434,0.4961425479741326,13313581
435,hotel transylvania 2,2015,english,united states,"adventure, animation, comedy, family, fantasy",80000000,169700110,0.3574138795282224,305099890,0.6425861204717775,474800000
436,hotel transylvania 3: summer vacation,2018,english,united states,"adventure, animation, comedy, family, fantasy",65000000,167510016,0.3169034394158304,361073758,0.6830965605841696,528583774
450,i heart huckabees,2004,english,"united states,united kingdom",comedy,22000000,12785432,0.6369730191630483,7286740,0.3630269808369518,20072172
452,i now pronounce you chuck & larry,2007,english,united states,"comedy, romance",85000000,120059556,0.6415695754719061,67074561,0.3584304245280939,187134117
453,i origins,2014,english,united states,"drama, mystery, romance, sci-fi",1000000,336472,0.6991858430617953,144762,0.3008141569382047,481234
455,"i, frankenstein",2014,english,united states,"action, fantasy, sci-fi",65000000,19075290,0.248372358971208,57725889,0.751627641028792,76801179
456,"i, tonya",2017,english,united states,"biography, comedy, drama, sport",11000000,30014539,0.5564503185868366,23924758,0.4435496814131634,53939297
463,incredibles 2,2018,english,united states,"action, adventure, animation, comedy, family, fantasy, sci-fi",200000000,608581744,0.4896838749469859,634223615,0.510316125053014,1242805359
464,independence day: resurgence,2016,english,united states,"action, adventure, sci-fi",165000000,103144286,0.2646883951651492,286537649,0.7353116048348508,389681935
471,insidious: chapter 3,2015,english,"united states,canada,united kingdom","horror, mystery, thriller",10000000,52218558,0.4621770277353437,60765331,0.5378229722646563,112983889
472,insidious: the last key,2018,english,united states,"horror, mystery, thriller",10000000,67745330,0.403520819190269,100140258,0.596479180809731,167885588
473,instant family,2018,english,united states,"comedy, drama",48000000,67363237,0.5587704028596588,53192964,0.4412295971403412,120556201
481,it chapter two,2019,english,united states,"drama, fantasy, horror",79000000,211622525,0.4472890505477413,261500000,0.5527109494522587,473122525
484,jab tak hai jaan,2012,hindi,india,"romance film, drama",9200000,3047539,0.4483021224903125,3750419,0.5516978775096875,6797958
487,jack reacher: never go back,2016,english,united states,"action, drama, thriller",60000000,58697076,0.3620012117962077,103449000,0.6379987882037922,162146076
488,jack ryan: shadow recruit,2014,english,united states,"action, drama, thriller",60000000,50577412,0.3732547087922616,84926336,0.6267452912077384,135503748
490,jackass number two,2006,english,united states,"action, comedy, documentary",11500000,72778712,0.8598094511341486,11866452,0.1401905488658513,84645164
491,jackass presents: bad grandpa,2013,english,united states,comedy,15000000,102003019,0.6339409890127667,58900000,0.3660590109872332,160903019
493,jeepers creepers 2,2003,english,united states,horror,17000000,35667218,0.5652252156826464,27435448,0.4347747843173535,63102666
497,john wick: chapter 3 - parabellum,2019,english,united states,"action, crime, thriller",75000000,171015687,0.5208344945075228,157333700,0.4791655054924771,328349387
498,johnny english strikes again,2018,english,"united kingdom,france,china,united states","action, adventure, comedy",25000000,4412170,0.0277545981155681,154558606,0.972245401884432,158970776
499,jojo rabbit,2019,english,"united states,new zealand,czech republic","comedy, drama, war",14000000,33370906,0.3561663947569631,60323801,0.6438336052430368,93694707
501,journey 2: the mysterious island,2012,english,united states,"family film, action, adventure",79000000,103860290,0.3097900142006081,231400000,0.6902099857993919,335260290
502,journey from the fall,2006,"vietnamese,english",united states,drama,1300000,641039,0.977302352243466,14888,0.0226976477565338,655927
506,jumanji: the next level,2019,english,united states,"action, adventure, comedy, fantasy",125000000,320314960,0.3995476932194655,481378969,0.6004523067805344,801693929
508,jupiter ascending,2015,english,"united states,australia","action, adventure, sci-fi",179000000,47482519,0.2575218044396063,136900000,0.7424781955603936,184382519
509,jurassic world,2015,english,united states,"action, adventure, sci-fi",215000000,652270625,0.3904875336802209,1018130012,0.6095124663197791,1670400637
510,jurassic world: fallen kingdom,2018,english,"china,united states","action, adventure, sci-fi",170000000,417719760,0.3192434036427567,890748184,0.6807565963572433,1308467944
512,just mercy,2019,english,united states,"biography, crime, drama",25000000,36001502,0.7072777930993077,14900000,0.2927222069006922,50901502
515,kabhi khushi kabhie gham...,2001,hindi,india,"drama, musical, romance",7500000,2902000,0.255991633254848,8434308,0.7440083667451519,11336308
516,kagemusha: the shadow warrior,1980,japanese,japan,"drama, history, war",6000000,4000000,0.995388365701704,18532,0.0046116342982959,4018532
519,kevin hart: let me explain,2013,english,united states,"comedy, documentary",2500000,32244051,0.9974261965638592,83204,0.0025738034361408,32327255
520,khiladi 786,2012,hindi,india,"comedy film, action",5600000,379466,0.4543986013567319,455629,0.5456013986432682,835095
523,kill bill: vol. 1,2003,"english,chinese,japanese",united states,"action, crime, thriller",30000000,70099045,0.3874886159158081,110807031,0.6125113840841918,180906076
524,kill bill: vol. 2,2004,english,united states,"action, crime, thriller",30000000,66208183,0.4295964465526703,87908974,0.5704035534473297,154117157
527,kingsman: the golden circle,2017,english,"united kingdom,united states","action, adventure, comedy, crime, thriller",104000000,100234838,0.2439381568182685,310667824,0.7560618431817314,410902662
528,kingsman: the secret service,2014,english,"united kingdom,united states","action, adventure, comedy, thriller",81000000,128261724,0.3095480763573644,286089822,0.6904519236426355,414351546
529,kissing jessica stein,2001,english,united states,"comedy, drama, romance",1000000,7025722,0.7016303314430709,2987702,0.2983696685569292,10013424
530,knives out,2019,english,united states,"comedy, crime, drama, mystery, thriller",40000000,165363234,0.5284893999934548,147534686,0.4715106000065452,312897920
531,kong: skull island,2017,english,united states,"action, adventure, fantasy, sci-fi",185000000,168052812,0.2955279714681161,400600000,0.7044720285318838,568652812
534,kung fu panda 3,2016,english,"united states,china","action, adventure, animation, comedy, family, fantasy",140000000,143528619,0.2753964959569638,377642206,0.7246035040430362,521170825
535,kung fu yoga,2017,"mandarin,english,hindi","china,hong kong","action, adventure, comedy, family, fantasy, mystery",65000000,363000,0.0014083777033417,257380359,0.9985916222966584,257743359
537,la la land,2016,english,united states,"comedy, drama, music, musical, romance",20000000,151101803,0.3377273227274287,296305892,0.6622726772725712,447407695
542,last vegas,2013,english,united states,comedy,28000000,63914167,0.4755431690419334,70488283,0.5244568309580666,134402450
559,logan lucky,2017,english,united states,"action, comedy, crime, drama",29000000,27780977,0.5733521169374292,20672628,0.4266478830625709,48453605
560,london has fallen,2016,english,united states,"action, thriller",60000000,62524260,0.303878049352683,143230187,0.696121950647317,205754447
561,lone survivor,2013,english,united states,"action, biography, drama, war",40000000,125095601,0.8080959161801814,29707311,0.1919040838198185,154802912
564,love & other drugs,2010,english,united states,"comedy, drama, romance",30000000,32367005,0.3147928659954976,70453003,0.6852071340045023,102820008
566,"love, simon",2018,english,united states,"comedy, drama, romance",10000000,40826341,0.615630663531248,25489948,0.384369336468752,66316289
570,machete kills,2013,"english,spanish",united states,action,20000000,8008161,0.4566388815172514,9529025,0.5433611184827486,17537186
571,mad max: fury road,2015,english,"australia,united states","action, adventure, sci-fi, thriller",150000000,153636354,0.4049067844458573,225800000,0.5950932155541427,379436354
577,maleficent: mistress of evil,2019,english,united states,"adventure, drama, family, fantasy, romance",185000000,113929605,0.2316913435817835,377800484,0.7683086564182164,491730089
